nombre,apellido,ciudad,provincia,longitud,latitud,distancia,tipo_universidad,universidad,semestre,anio,periodo,carrera,genero,edad,modalidad,zona,tipo_vivienda,sector,codigo_postal
Raimundo Llopis,Hierro,Latacunga, Cotopaxi,-78.6145758,-0.9340311,80.19,Pública,Universidad Central del Ecuador (UCE),7,2025,2025-B,Nutrición,Femenino,20,Presencial,Quito,Arrendada,Gonzalez Suarez,170107
Benjamín Zoé,Trejo, Tosagua, Manabí,-80.2577186,-0.7755207,203.66,Pública,Universidad Central del Ecuador (UCE),4,2023,2023-B,Gastronomía,Femenino,22,Presencial,Quito,Arrendada,Tababela,170183
Ileana,Antón-Andrés,Sangolquí, Pichincha,-78.4483476,-0.3288822,14.03,Pública,Escuela Politécnica del Ejército (ESPE),11,2025,2025-B,Hotelería,Masculino,24,Presencial,Quito,Familiar,Pifo,170175
Demetrio,Vazquez, Balzar, Guayas,-79.9367148,-1.3062992,199.16,Pública,Universidad Central del Ecuador (UCE),8,2024,2024-B,Contabilidad,Masculino,22,Presencial,Quito,Familiar,La Vicentina,170112
Chita del,Giménez,Jaramijó, Manabí,-80.6134583,-0.9743883,248.22,Privada,Universidad Tecnológica Equinoccial (UTE),5,2023,2023-A,Ingeniería en Sistemas,Masculino,21,Presencial,Quito,Arrendada,Chavezpamba,170158
Dr(a). Alma Valentina,Gonzalez, Alausí, Chimborazo,-78.703566,-2.3250494,235.02,Privada,Universidad de las Américas (UDLA),7,2025,2025-B,Ingeniería Civil,Masculino,25,Presencial,Quito,Arrendada,Chavezpamba,170158
Jacinto,Ledesma,Saquisilí, Cotopaxi,-78.7312624,-0.8359835,72.67,Privada,Universidad Politécnica Salesiana (UPS),10,2025,2025-B,Biología,Masculino,23,Presencial,Quito,Arrendada,Belisario Quevedo,170129
Iván Benjamín,Caballero, Cariamanga, Loja,-79.5559525,-4.326038,471.04,Pública,Escuela Politécnica del Ejército (ESPE),3,2025,2025-B,Marketing,Masculino,19,Presencial,Quito,Arrendada,San Blas,170113
Benicio Romero,Perez, Durán, Guayas,-79.7895887,-2.2127014,263.15,Pública,Universidad Central del Ecuador (UCE),7,2024,2024-A,Ingeniería Civil,Masculino,25,Presencial,Quito,Arrendada,Las Cuadras,170128
Lupe Casanovas,Pinedo, Flavio Alfaro, Manabí,-79.844538,-0.3242859,148.59,Pública,Universidad Central del Ecuador (UCE),11,2024,2024-A,Psicología,Femenino,22,Híbrida,Quito,Familiar,Pedro Vicente Maldonado,170173
Emilia del,Fernandez,San Lorenzo, Esmeraldas,-78.6869333,0.9850634,135.41,Privada,Universidad de las Américas (UDLA),11,2025,2025-A,Ciencia de Datos,Femenino,20,Presencial,Quito,Propia,Amaguaña,170152
Natalio Goñi,Mancebo,Catarama, Los Ríos,-79.4750201,-1.5692196,184.28,Pública,Escuela Politécnica Nacional (EPN),8,2025,2025-B,Ingeniería Petroquímica,Masculino,17,Presencial,Quito,Arrendada,Villaflora,170119
Toribio de,Pinto,Otavalo, Imbabura,-78.2454274,0.2227636,57.5,Pública,Universidad Central del Ecuador (UCE),5,2024,2024-B,Diseño Gráfico,Femenino,17,Presencial,Quito,Familiar,Rumipamba,170147
Leonardo Manuel Arias,Rojas, Riobamba, Chimborazo,-78.6482479,-1.6732765,162.28,Privada,Universidad Internacional del Ecuador (UIDE),4,2025,2025-A,Turismo,Masculino,25,Presencial,Quito,Arrendada,Comite Del Pueblo,170133
Angie Andrea,Padilla, Jujan, Guayas,-79.5495283,-1.9494337,224.21,Privada,Universidad de las Américas (UDLA),8,2025,2025-A,Nutrición,Femenino,25,Presencial,Quito,Arrendada,Chillogallo,170105
Juan,Jimínez, Buena Fe, Los Ríos,-79.5296983,-0.7488694,127.49,Privada,Universidad de las Américas (UDLA),8,2024,2024-A,Odontología,Masculino,21,Presencial,Quito,Familiar,Chillogallo,170105
Anabel Estela Aparicio,Mata,Atuntaqui, Imbabura,-78.219615,0.3316022,69.45,Pública,Universidad Central del Ecuador (UCE),3,2025,2025-B,Biología,Prefiere no decir,17,Presencial,Quito,Propia,Cumbaya,170157
Bautista Ian Ezequiel Ortiz,Vera, Pedernales, Manabí,-79.8451737,0.0693259,151.66,Pública,Universidad Central del Ecuador (UCE),6,2025,2025-A,Ciberseguridad,Femenino,18,Presencial,Quito,Arrendada,La Floresta,170109
Leonardo,Reynoso, Quevedo, Los Ríos,-79.4776812,-1.0669701,142.78,Pública,Universidad Central del Ecuador (UCE),5,2025,2025-B,Ingeniería Industrial,Masculino,17,Presencial,Quito,Arrendada,Iñaquito,170135
