nombre,apellido,ciudad,provincia,longitud,latitud,distancia,tipo_universidad,universidad,semestre,anio,periodo,carrera,genero,edad,modalidad,zona,tipo_vivienda,sector,codigo_postal
Alberto Tena,Rosales,Cayambe, Pichincha,-77.9889555,0.0251586,64.27,Privada,Universidad de las Américas (UDLA),2,2023,2023-B,Diseño Industrial,Femenino,21,Presencial,Quito,Arrendada,Benalcazar,170102
Jhon,Restrepo,INVALID, Carchi,-77.9396301,0.6211998,113.17,Pública,Escuela Politécnica del Ejército (ESPE),11,2024,{BAD},Administración,Femenino,22,Presencial,@@@,###CORRUPT###,Cumbaya,170157
Mtro. José Manuél,, Cañar, Cañar,-79.1800778,-2.4749335,,Pública,Escuela Politécnica del Ejército (ESPE),8,2024,2024-A,Ingeniería Química,Femenino,22,Presencial,Quito,Arrendada,La Vicentina,170112
Delia Teresa Matías,Rosario, Loreto, Orellana,-77.3252738,-0.6471884,INVALID,Pública,Escuela Politécnica Nacional (EPN),2,2024,,Enfermería,Masculino,19,Presencial,Quito,Propia,Llano Chico,<NULL>
Perlita Palacios,<NULL>,,<NULL>,-78.6145758,-0.9340311,80.19,Privada,Universidad San Francisco de Quito (USFQ),8,2023,2023-B,Ingeniería Mecánica,Masculino,23,Híbrida,Quito,Arrendada,Belisario Quevedo,170129
Esteban de,Carro,INVALID, Imbabura,-77.9402742,0.393298,93.27,BROKEN,Escuela Politécnica del Ejército (ESPE),@@@,2024,2024-A,Marketing,Femenino,23,Presencial,Quito,Familiar,Mariscal Sucre,170143
Luca Constanza Barrios,<NULL>,Guaranda, Bolívar,-79.0576662,-1.4398571,148.56,Privada,Universidad de las Américas (UDLA),6,BAD,,Ciencia de Datos,Masculino,17,Presencial,Quito,Arrendada,Belisario Quevedo,170129
Ángela,Ordóñez,El Triunfo,,-79.3660575,-2.2907784,249.03,Pública,Universidad Central del Ecuador (UCE),12,2023,2023-A,Diseño de Modas,Masculino,22,Presencial,Quito,Arrendada,Guayllabamba,170163
Indira Lira,Valdés, Shushufindi, Sucumbíos,-76.5906945,-0.2885051,213.81,Pública,Escuela Politécnica del Ejército (ESPE),9,2024,2024-A,Gastronomía,Femenino,17,Presencial,Quito,Propia,Perucho,170174
Sr(a). Julia,Solorzano,Salinas,BROKEN,-80.9237973,-2.2612497,351.24,Pública,Universidad Central del Ecuador (UCE),12,2024,2024-B,Ingeniería en Sistemas,Masculino,17,Presencial,Quito,Arrendada,La Floresta,170109
Juan Ignacio Mateo Agustin,,BROKEN, Cañar,-78.9802821,-2.6748261,277.86,Privada,Universidad Internacional del Ecuador (UIDE),5,2024,2024-B,Fisioterapia,Femenino,21,Presencial,Quito,,Calderon (Carapungo),170155
Hugo Víctor,Vergara,Ibarra,BROKEN,-78.1329448,{BAD},92.08,Pública,###CORRUPT###,5,2023,@@@,Ingeniería Química,Femenino,18,Presencial,Quito,Arrendada,Itchimbia,170136
Alex Rosero,BROKEN,El Triunfo, Guayas,-79.3660575,-2.2907784,249.03,Pública,Universidad Central del Ecuador (UCE),0,2024,2024-B,Ingeniería Industrial,No binario,20,Presencial,INVALID,Arrendada,El Beaterio,###CORRUPT###
Cayetana Nebot,@@@, Bahía de Caráquez, Manabí,-80.423572,-0.5999649,216.67,Pública,Escuela Politécnica del Ejército (ESPE),9,2024,2024-A,Psicopedagogía,Masculino,22,Presencial,Quito,Familiar,Cotocollao,170103
Adriana Abigail Beltrán,Echeverría,Cayambe, Pichincha,-77.9889555,0.0251586,{BAD},Pública,Escuela Politécnica del Ejército (ESPE),2,2025,2025-B,INVALID,No binario,17,Presencial,Quito,Propia,San Roque,170115
Lic. Dalia,Soliz,Sangolquí, Pichincha,-78.4483476,-0.3288822,14.03,Pública,Escuela Politécnica del Ejército (ESPE),10,2023,2023-B,Psicología Clínica,Masculino,17,Presencial,Quito,,San Blas,170113
Pascual Mariano Piña de la,Fuente,Simón Bolívar, Guayas,-79.4218634,-2.0424101,226.45,Pública,Universidad Central del Ecuador (UCE),2,2024,2024-A,Ingeniería Agronómica,Femenino,17,Presencial,Quito,Arrendada,Puerto Quito,170182
Paulina,Márquez-Cañellas, Palenque, Los Ríos,-79.7182552,-1.3353343,ERR,Privada,Universidad Internacional del Ecuador (UIDE),8,VAL3503,174703,Ingeniería Industrial,Masculino,21,Presencial,Quito,Arrendada,Benalcazar,INVALID
Dulce María,Aguayo, Guano, Chimborazo,-78.6578385,<NULL>,147.64,Privada,Universidad Politécnica Salesiana (UPS),-9999.0,@@@,2024-A,Nutrición,Femenino,19,Presencial,Quito,INVALID,Chilibulo,170131
Raimundo Máximo González,, Coronel Marcelino Maridueña,398293,-79.3861649,-2.2333628,244.02,Pública,Universidad Central del Ecuador (UCE),,2025,2025-A,Arquitectura,Masculino,18,Presencial,Quito,Arrendada,,INVALID
Sr(a). Martina,Nuñez, Gualaquiza,<NULL>,-78.706485,-3.3277138,346.22,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Universidad Central del Ecuador (UCE),3,2023,2023-B,Ingeniería Biomédica,<NULL>,20,Híbrida,Quito,INVALID,Condado,170134
,Ruiz,Montecristi, Manabí,-80.6606834,-1.0504072,256.09,Pública,Escuela Politécnica Nacional (EPN),5,2024,<NULL>,Ingeniería Electrónica,Femenino,21,Presencial,Quito,Arrendada,Puerto Quito,170182
Marina,Figueroa, Portoviejo, Manabí,-80.4534134,BROKEN,234.85,Pública,Instituto de Altos Estudios Nacionales (IAEN),8,2023,2023-A,Periodismo,Masculino,19,Presencial,Quito,###,Santa Prisca,###CORRUPT###
Ramiro Ortiz,Moreno, Huaca, Carchi,-77.727333,0.7987391,143.02,Pública,Universidad Central del Ecuador (UCE),4,VAL1813,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Diseño Industrial,Femenino,18,Presencial,Quito,Arrendada,Iñaquito,170135
Alejandro Santiago,Tamayo, Macará, Loja,-79.9154486,-4.3490358,484.84,Pública,###CORRUPT###,10,2024,2024-A,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Femenino,1000000000000.0,Presencial,Quito,Arrendada,Condado,###CORRUPT###
,<NULL>,,,,,,BROKEN,,,,###CORRUPT###,,,,,,,,
Mario Yolanda,Carrero, Pelileo, Tungurahua,-78.537307,-1.3573827,126.48,Pública,Escuela Politécnica Nacional (EPN),<NULL>,2023,2023-A,Laboratorio Clínico,Masculino,VAL6896,Presencial,Quito,Arrendada,San Blas,
Lara,Aguero, Valencia, Los Ríos,<NULL>,-0.7696521,108.72,Pública,Universidad Central del Ecuador (UCE),6,2024,2024-B,Ingeniería Petroquímica,Prefiere no decir,19,Presencial,Quito,Arrendada,Cotocollao,170103
Albano Herberto Giménez,Salmerón, Camilo Ponce Enríquez, Azuay,-79.5630363,-2.9640696,326.69,Pública,Universidad Central del Ecuador (UCE),1,2023,2023-A,Educación Básica,No binario,23,Presencial,Quito,Arrendada,Guamani,170126
Carlota Cueto,Bueno, Jujan, Guayas,,-1.9494337,224.21,Pública,Universidad Central del Ecuador (UCE),2,2023,2023-B,Diseño Industrial,Femenino,17,Presencial,Quito,Arrendada,Chillogallo,170105
Dr. Débora,Elizondo,Cayambe, Pichincha,-77.9889555,0.0251586,64.27,Pública,Universidad Central del Ecuador (UCE),10,2025,2025-A,Periodismo,Femenino,20,Presencial,Quito,Arrendada,El Inca,170124
Dr(a). Joaquín,{BAD}, Santa Lucía, Guayas,-80.0426304,-1.7145863,237.82,Privada,Universidad Tecnológica Equinoccial (UTE),1,2023,2023-A,,Masculino,1000000000000.0,Presencial,Quito,Propia,Calderon (Carapungo),170155
Martina Navarro,Duarte, Valencia,###CORRUPT###,-79.3211355,@@@,108.72,Pública,Escuela Politécnica del Ejército (ESPE),1,2025,###CORRUPT###,Contabilidad,Femenino,21,Presencial,Quito,Arrendada,La Mena,170142
Dr(a). Paloma,Ramirez,Atuntaqui,BROKEN,-78.219615,0.3316022,69.45,Privada,Universidad Tecnológica Equinoccial (UTE),11,2025,2025-B,Ingeniería Agronómica,Masculino,20,Presencial,<NULL>,Residencia universitaria,Calacali,170154
Lupita de,Agudo,Saraguro, Loja,-79.3063889,-3.5269465,378.14,Pública,Universidad Central del Ecuador (UCE),11,2024,2024-A,Matemáticas,Masculino,24,Presencial,Quito,Arrendada,Mindo,170167
Borja,Cantero-Solana, Palora, Morona Santiago,-77.9675269,200,175.15,Pública,Universidad Central del Ecuador (UCE),6,2023,2023-A,Derecho,Masculino,17,Presencial,Quito,Arrendada,Puellaro,
Thiago Nicolas Sanchez,Fernandez,Arenillas, El Oro,-80.0974316,-3.5859238,413.63,Pública,Escuela Politécnica Nacional (EPN),6,2025,2025-A,Ingeniería Electrónica,Femenino,17,Presencial,BROKEN,Familiar,Pintag,170176
BROKEN,Matías,Puyo, Pastaza,###CORRUPT###,-1.4854777,151.92,Pública,Escuela Politécnica Nacional (EPN),<NULL>,2023,2023-B,Ingeniería Automotriz,Masculino,18,,Quito,Residencia universitaria,La Floresta,170109
Thiago Emanuel Federico,Moreno,El Triunfo, Guayas,-79.3660575,-2.2907784,249.03,Pública,Universidad Andina Simón Bolívar (UASB),7,2024,2024-B,Psicología Clínica,Masculino,21,Presencial,Quito,###CORRUPT###,Pacto,170172
Paola Barbosa,Arenas,@@@, Guayas,-80.0426304,-1.7145863,237.82,Pública,###CORRUPT###,11,2024,2024-A,Ingeniería Petroquímica,Masculino,23,Presencial,Quito,Familiar,Perucho,170174
Maritza Álvarez,Parra,{BAD},,-78.5425997,-1.74403,169.48,Privada,Universidad de las Américas (UDLA),7,2025,2025-A,Tecnologías de la Información,Femenino,22,Presencial,###CORRUPT###,Familiar,Belisario Quevedo,170129
Roberto José,Polo, Sucre, Manabí,-80.4199056,-0.7326786,219.63,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Universidad de las Américas (UDLA),INVALID,2023,2023-B,Turismo,Femenino,18,Presencial,,Arrendada,Calacali,170154
{BAD},Cerdá,Sucúa, Morona Santiago,-78.1727383,-2.4560109,251.46,Pública,INVALID,3,@@@,2023-B,Administración,Masculino,,Presencial,Quito,Arrendada,Cotocollao,170103
Dr(a). Sol,Vera, San Gabriel, Carchi,-77.835319,0.598485,118.12,Pública,<NULL>,7,BROKEN,2024-A,Medicina,Femenino,18,Presencial,Quito,Familiar,La Ecuatoriana,170140
Aura Navas,Garmendia, Puerto López, Manabí,-80.744524,-1.5440814,288.55,Pública,Universidad Central del Ecuador (UCE),11,2023,2023-A,Trabajo Social,Masculino,21,BROKEN,Quito,Propia,El Quinche,170160
Sr(a). Agustin,Alvarez,@@@, El Oro,-80.154904,-3.4145538,399.35,Pública,Universidad Central del Ecuador (UCE),10,2023,2023-B,Artes Visuales,Femenino,19,Presencial,Quito,Arrendada,@@@,170103
Leonel Manzano,Cases, Pelileo, Tungurahua,-78.537307,-1.3573827,126.48,Pública,Escuela Politécnica del Ejército (ESPE),BROKEN,2024,,Ingeniería Química,Femenino,24,Presencial,Quito,Arrendada,Villaflora,170119
Agapito Modesto Acuña,Serrano, Santa Isabel, Azuay,-79.3594118,-3.1839392,342.74,Privada,Universidad de las Américas (UDLA),6,2023,2023-A,Artes Visuales,Masculino,25,Presencial,Quito,Propia,Checa (Chilpa),@@@
Jesús Andrea,Navarrete,Catarama,772393,-79.4750201,-1.5692196,184.28,Pública,Escuela Politécnica del Ejército (ESPE),1,2024,INVALID,Educación Física,Femenino,20,Presencial,!ERROR!,Propia,Pacto,170172
Kelly Ana,Ortiz, Atacames, Esmeraldas,-79.8790841,0.7971086,INVALID,Pública,BROKEN,9,2025,<NULL>,Nutrición,Masculino,25,Híbrida,Quito,Residencia universitaria,La Libertad,170110
Pilar Mateo Benjamin,Ayala, Isidro Ayora, Guayas,-80.1463096,-1.8796754,258.94,Privada,Pontificia Universidad Católica del Ecuador (PUCE),###CORRUPT###,2024,2024-B,Matemáticas,Femenino,21,,Quito,Residencia universitaria,Belisario Quevedo,170129
Verónica,Salas,Simón Bolívar, Guayas,-79.4218634,-2.0424101,-50,Pública,Universidad Central del Ecuador (UCE),5,2024,2024-B,Ingeniería Civil,Femenino,21,Presencial,Quito,Arrendada,Condado,170134
±§¶,Arévalo, Flavio Alfaro, Manabí,-79.844538,BROKEN,148.59,Pública,Instituto de Altos Estudios Nacionales (IAEN),1,2025,2025-B,Ingeniería Mecánica,Femenino,18,Presencial,{BAD},Propia,Las Cuadras,<NULL>
Nancy Castrillón,Gómez, Muisne, Esmeraldas,-79.8817211,0.5387247,174.09,Pública,Universidad Central del Ecuador (UCE),2,1000000000000.0,{BAD},Educación Inicial,Masculino,22,Presencial,Quito,{BAD},Eloy Alfaro,170125
Selena,Rico-Conde, Narcisa de Jesús, Guayas,<NULL>,-1.6118103,246.52,Pública,Universidad Central del Ecuador (UCE),1,2025,2025-A,@@@,Femenino,22,Presencial,Quito,Arrendada,Comite Del Pueblo,###CORRUPT###
Gustavo Escamilla,Maldonado,Guaranda, Bolívar,-79.0576662,-1.4398571,148.56,###,,2,2023,2023-A,{BAD},Femenino,22,Presencial,Quito,Familiar,Cotocollao,170103
Jerónimo Pellicer,Ferrando,Cayambe,@@@,-77.9889555,0.0251586,64.27,Pública,@@@,{BAD},2024,2024-B,Marketing,Femenino,18,Presencial,Quito,Residencia universitaria,Condado,170134
Fidel,Mesa, Santo Domingo, Santo Domingo de los Tsáchilas,<NULL>,-0.2546212,73.08,Privada,Universidad Internacional del Ecuador (UIDE),4,2025,2025-B,Ingeniería Agronómica,Masculino,22,Presencial,Quito,Familiar,Comite Del Pueblo,170133
Sr(a). Natividad,Coronado, Santa Ana,,-80.2631268,,222.78,Pública,Universidad Central del Ecuador (UCE),INVALID,2025,2025-A,NO DEFINIDA,No binario,17,Presencial,Quito,Familiar,,@@@
Teresa Silvano,@@@, Pedro Carbo, Guayas,,-1.8672671,270.34,Pública,Universidad Central del Ecuador (UCE),2,2025,2025-B,Fisioterapia,Masculino,99999.0,Presencial,Quito,Arrendada,La Floresta,170109
Horacio Juan,Rendón, Rocafuerte, Manabí,-80.4012121,-0.9032437,223.34,###CORRUPT###,Universidad Politécnica Salesiana (UPS),7,2023,2023-A,Odontología,Masculino,20,Presencial,Quito,Residencia universitaria,Amaguaña,170152
Catalina Nancy López,Alarcón, Camilo Ponce Enríquez, Azuay,-79.5630363,-2.9640696,326.69,Pública,Escuela Politécnica del Ejército (ESPE),4,2023,2023-A,Comercio Exterior,Femenino,21,Presencial,Quito,Familiar,Guapulo,170108
Felipe Cárdenas,Gómez, El Carmen, Manabí,-79.5741548,-0.4809541,121.58,Privada,Universidad de las Américas (UDLA),2,2023,2023-B,Educación Física,Femenino,22,Presencial,Quito,,Benalcazar,170102
Lucas Ezequiel Camila,Fernandez, Alausí, Chimborazo,-78.703566,-2.3250494,235.02,Pública,Universidad Central del Ecuador (UCE),9,2024,2024-A,Tecnologías de la Información,Masculino,BROKEN,Presencial,{BAD},Familiar,San Blas,{BAD}
Teo Becerra,Lobato, Balao, Guayas,-79.7180498,-2.8852516,325.24,Pública,Escuela Politécnica del Ejército (ESPE),9,2024,2024-A,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,No binario,23,Presencial,,Familiar,Chimbacalle,170121
Sr(a). Salvador,Ponce, Balzar, Guayas,-79.9367148,-1.3062992,199.16,@@@,Universidad Central del Ecuador (UCE),5,2024,2024-B,Ingeniería Petroquímica,Femenino,21,###CORRUPT###,Quito,Arrendada,Condado,170134
Ricardo,Medina, Cañar, Cañar,-79.1800778,-2.4749335,-50,Privada,Universidad San Francisco de Quito (USFQ),2,###CORRUPT###,∞∞∞,Comunicación Social,Femenino,19,En línea,Quito,Propia,Amaguaña,170152
