nombre,apellido,becado,tipo_ingreso,tipo_universidad,ingreso_cantidad
Raimundo Llopis,Hierro,0,Apoyo familiar,Pública,400.32
Benjamín Zoé,Trejo,0,Apoyo familiar,Pública,341.56
Ileana,Antón-Andrés,0,Trabajo,Pública,282.38
Demetrio,Vazquez,0,Trabajo,Pública,326.15
Demetrio,Vazquez,0,Apoyo familiar,Pública,339.81
Chita del,Giménez,0,Trabajo,Privada,238.29
Dr(a). Alma Valentina,Gonzalez,0,Apoyo familiar,Privada,646.02
Jacinto,Ledesma,1,Trabajo,Privada,288.37
Jacinto,Ledesma,1,Apoyo familiar,Privada,445.4
Jacinto,Ledesma,1,Beca,Privada,436.35
Iván Benjamín,Caballero,0,Apoyo familiar,Pública,311.32
Benicio Romero,Perez,0,Crédito educativo,Pública,244.56
Benicio Romero,Perez,0,Apoyo familiar,Pública,183.45
Lupe Casanovas,Pinedo,0,Trabajo,Pública,297.52
Emilia del,Fernandez,1,Crédito educativo,Privada,348.99
Emilia del,Fernandez,1,Apoyo familiar,Privada,344.23
Emilia del,Fernandez,1,Beca,Privada,381.87
Natalio Goñi,Mancebo,0,Trabajo,Pública,212.88
Natalio Goñi,Mancebo,0,Otro,Pública,259.9
Toribio de,Pinto,0,Apoyo familiar,Pública,340.16
Leonardo Manuel Arias,Rojas,0,Apoyo familiar,Privada,785.83
Angie Andrea,Padilla,0,Apoyo familiar,Privada,529.66
Juan,Jimínez,0,Apoyo familiar,Privada,511.59
Anabel Estela Aparicio,Mata,0,Trabajo,Pública,224.23
Anabel Estela Aparicio,Mata,0,Otro,Pública,229.3
Anabel Estela Aparicio,Mata,0,Apoyo familiar,Pública,420.08
Bautista Ian Ezequiel Ortiz,Vera,0,Apoyo familiar,Pública,312.14
Leonardo,Reynoso,0,Apoyo familiar,Pública,508.52
Clara Fernando Valentín,Tijerina,0,Trabajo,Pública,249.33
Clara Fernando Valentín,Tijerina,0,Otro,Pública,210.32
Efrain Castillo,Torres,0,Otro,Pública,398.76
Lic. Aurora,Arreola,0,Apoyo familiar,Privada,528.92
Mauricio Cuesta,Roca,0,Trabajo,Pública,260.44
Mauricio Cuesta,Roca,0,Otro,Pública,364.01
Francisca Solé,Ángel,0,Otro,Pública,476.56
Francisca Solé,Ángel,0,Apoyo familiar,Pública,412.38
Ruth,González,0,Apoyo familiar,Pública,343.99
Luis Óscar,Cárdenas,0,Otro,Pública,316.6
Johana López,Pineda,0,Apoyo familiar,Privada,599.19
José Luis Cynthia,Tirado,0,Apoyo familiar,Pública,312.89
Etelvina Laura Aliaga,Caparrós,0,Crédito educativo,Pública,219.2
Etelvina Laura Aliaga,Caparrós,0,Trabajo,Pública,205.97
Etelvina Laura Aliaga,Caparrós,0,Apoyo familiar,Pública,275.04
David,Moreno,1,Apoyo familiar,Privada,512.02
David,Moreno,1,Beca,Privada,518.88
Pío Torre,Bayón,0,Apoyo familiar,Privada,1071.57
Victoria Martín,Ulloa,0,Trabajo,Privada,208.04
Óliver Samuel Piña,Galarza,1,Apoyo familiar,Privada,462.15
Óliver Samuel Piña,Galarza,1,Beca,Privada,440.38
Leonor Yuridia Niño,Quezada,0,Apoyo familiar,Pública,419.69
Valentina Rodriguez,Gonzalez,0,Apoyo familiar,Pública,338.05
Dr. Abraham,Batista,0,Crédito educativo,Pública,275.38
Dr. Abraham,Batista,0,Apoyo familiar,Pública,433.33
Anastasio de,Murillo,0,Otro,Pública,391.27
Cándida,Lopez,0,Otro,Privada,235.88
Cándida,Lopez,0,Apoyo familiar,Privada,590.91
Juan Pablo Lisandro,Cruz,0,Apoyo familiar,Pública,440.71
Martín Micaela,Lopez,0,Apoyo familiar,Pública,414.07
Felicidad Roda,Reig,1,Apoyo familiar,Privada,637.57
Felicidad Roda,Reig,1,Beca,Privada,463.56
