nombre,apellido,becado,tipo_ingreso,tipo_universidad,ingreso_cantidad
Ciro Valentina,Bravo,0,Otro,Pública,474.14
Marianela Patricia Rebollo,Alsina,0,Apoyo familiar,Pública,361.48
Rocío,Blanco,∞∞∞,Apoyo familiar,@@@,374.67
Ernesto Robles,ERR!!,0,Apoyo familiar,Pública,567.83
Donato Cerro,Peñalver,1,Beca,Privada,349.35
Eduardo,Alegre-Osuna,0,,Pública,478.42
Natalia Fernanda,Bernal,0,Trabajo,[DAMAGED],304.12
Juana Ortiz,Ortiz,0,Trabajo,Pública,[DAMAGED]
Florencia Paulina Bravo,,###,Apoyo familiar,Privada,506.43
Thiago Benjamin,Guzman,,Apoyo familiar,Pública,365.86
Sabas del,Salvà,X,Crédito educativo,,299.48
Amanda Janeth,Sandoval,0,Otro,Pública,202.76
Tania Cecilia,Tejada,0,Crédito educativo,Pública,373.44
Loida,Prada-Paredes,∞∞∞,Apoyo familiar,Privada,275.55
Dr(a). Maia,Gonzalez,0,Trabajo,Pública,@@@
Emerson Ronal Martínez,Vega,$$$,Otro,<NULL>,0.0
Daniel,Ponce,C0RRUPT3D,Beca,Privada,492.34
Thiago Benjamin Gutierrez,Fernandez,1,Apoyo familiar,Privada,374.08
Alejandro,∞∞∞,1,Crédito educativo,Privada,C0RRUPT3D
Pilar Campos,,1,???,@@@,381.8
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,0,Apoyo familiar,C0RRUPT3D,322.76
,Canet,0,Apoyo familiar,Pública,277.09
Dr. Débora,Elizondo,0,Trabajo,Pública,
Tomasa Menéndez,Nicolás,,Apoyo familiar,Privada,563.23
{BAD},Aparicio,1,{BAD},Privada,∞∞∞
Noelia Ramiro Caraballo,Matos,X,Otro,Pública,0.0
Eutimio Jose Antonio Marin,Landa,0,Apoyo familiar,Pública,324.64
Darío,Angulo,0,∞∞∞,Pública,242.28
Fidel Hermelinda Laureano,Espino,0,Apoyo familiar,Pública,338.46
###CORRUPT###,,,,,
Araceli,Gurule,999999.0,Trabajo,Pública,@@@
Cruz Prada,Coronado,0,Crédito educativo,<NULL>,276.82
Matias Jeronimo,Garcia,1,Apoyo familiar,<NULL>,<NULL>
Dr(a). Bruno,Godoy,0,Trabajo,<NULL>,214.46
Daniel,Contreras,0,Crédito educativo,Pública,297.27
Luciano,C0RRUPT3D,0,Apoyo familiar,Privada,741.57
Eva,Julián-Izaguirre,0,Crédito educativo,Pública,273.16
Etelvina Laura Aliaga,Caparrós,0,Trabajo,Pública,205.97
Augusto Cristian Maldonado,Pantoja,0,Apoyo familiar,Pública,266.58
Carmela,Duran-Vega,0,Trabajo,Privada,283.33
Soledad Cáceres,Gonzalez,0,Trabajo,Pública,232.09
Sr(a). Omar,Altamirano,1,Otro,Privada,447.78
Julio Juan,Rojas,0,Apoyo familiar,Pública,366.15
Benicio,∞∞∞,0,Crédito educativo,Pública,347.5
Vanesa Rolando Huerta,Quiñónez,1,Apoyo familiar,Privada,529.25
Renzo,Gonzalez,1,Beca,Privada,289.49
900714,Miranda,0,Apoyo familiar,Pública,374.27
@@@,,<NULL>,,,
Camila Pedro,Campos,0,Crédito educativo,Pública,330.3
