nombre,apellido,ciudad,becado,tipo_universidad,categoria_gasto,gasto_categoria
Raimundo Llopis,Hierro,Latacunga,0,Pública,Vivienda,100.97
Raimundo Llopis,Hierro,Latacunga,0,Pública,Alimentación,94.33
Raimundo Llopis,Hierro,Latacunga,0,Pública,Transporte,21.8
Raimundo Llopis,Hierro,Latacunga,0,Pública,Educación,31.79
Raimundo Llopis,Hierro,Latacunga,0,Pública,Ocio y personales,36.29
Raimundo Llopis,Hierro,Latacunga,0,Pública,Otros,35.08
Benjamín Zoé,Trejo, Tosagua,0,Pública,Vivienda,73.99
Benjamín Zoé,Trejo, Tosagua,0,Pública,Alimentación,68.16
Benjamín Zoé,Trejo, Tosagua,0,Pública,Transporte,40.4
Benjamín Zoé,Trejo, Tosagua,0,Pública,Educación,33.09
Benjamín Zoé,Trejo, Tosagua,0,Pública,Ocio y personales,26.36
Benjamín Zoé,Trejo, Tosagua,0,Pública,Otros,31.25
Ileana,Antón-Andrés,Sangolquí,0,Pública,Vivienda,54.0
Ileana,Antón-Andrés,Sangolquí,0,Pública,Alimentación,56.98
Ileana,Antón-Andrés,Sangolquí,0,Pública,Transporte,33.7
Ileana,Antón-Andrés,Sangolquí,0,Pública,Educación,42.2
Ileana,Antón-Andrés,Sangolquí,0,Pública,Ocio y personales,19.02
Ileana,Antón-Andrés,Sangolquí,0,Pública,Otros,20.0
Demetrio,Vazquez, Balzar,0,Pública,Vivienda,171.97
Demetrio,Vazquez, Balzar,0,Pública,Alimentación,117.34
Demetrio,Vazquez, Balzar,0,Pública,Transporte,110.47
Demetrio,Vazquez, Balzar,0,Pública,Educación,33.12
Demetrio,Vazquez, Balzar,0,Pública,Ocio y personales,52.68
Demetrio,Vazquez, Balzar,0,Pública,Otros,47.19
Chita del,Giménez,Jaramijó,0,Privada,Vivienda,67.43
Chita del,Giménez,Jaramijó,0,Privada,Alimentación,54.42
Chita del,Giménez,Jaramijó,0,Privada,Transporte,29.82
Chita del,Giménez,Jaramijó,0,Privada,Educación,8.93
Chita del,Giménez,Jaramijó,0,Privada,Ocio y personales,17.82
Chita del,Giménez,Jaramijó,0,Privada,Otros,12.21
Dr(a). Alma Valentina,Gonzalez, Alausí,0,Privada,Vivienda,140.21
Dr(a). Alma Valentina,Gonzalez, Alausí,0,Privada,Alimentación,89.59
Dr(a). Alma Valentina,Gonzalez, Alausí,0,Privada,Transporte,89.93
Dr(a). Alma Valentina,Gonzalez, Alausí,0,Privada,Educación,74.01
Dr(a). Alma Valentina,Gonzalez, Alausí,0,Privada,Ocio y personales,58.87
Dr(a). Alma Valentina,Gonzalez, Alausí,0,Privada,Otros,64.21
Jacinto,Ledesma,Saquisilí,1,Privada,Vivienda,230.09
Jacinto,Ledesma,Saquisilí,1,Privada,Alimentación,204.81
Jacinto,Ledesma,Saquisilí,1,Privada,Transporte,163.08
Jacinto,Ledesma,Saquisilí,1,Privada,Educación,84.46
Jacinto,Ledesma,Saquisilí,1,Privada,Ocio y personales,154.96
Jacinto,Ledesma,Saquisilí,1,Privada,Otros,98.7
Iván Benjamín,Caballero, Cariamanga,0,Pública,Vivienda,75.53
Iván Benjamín,Caballero, Cariamanga,0,Pública,Alimentación,49.22
Iván Benjamín,Caballero, Cariamanga,0,Pública,Transporte,34.33
Iván Benjamín,Caballero, Cariamanga,0,Pública,Educación,32.15
Iván Benjamín,Caballero, Cariamanga,0,Pública,Ocio y personales,40.89
Iván Benjamín,Caballero, Cariamanga,0,Pública,Otros,16.94
Benicio Romero,Perez, Durán,0,Pública,Vivienda,87.18
Benicio Romero,Perez, Durán,0,Pública,Alimentación,77.15
Benicio Romero,Perez, Durán,0,Pública,Transporte,75.15
Benicio Romero,Perez, Durán,0,Pública,Educación,36.54
Benicio Romero,Perez, Durán,0,Pública,Ocio y personales,45.36
Benicio Romero,Perez, Durán,0,Pública,Otros,21.03
Lupe Casanovas,Pinedo, Flavio Alfaro,0,Pública,Vivienda,56.82
Lupe Casanovas,Pinedo, Flavio Alfaro,0,Pública,Alimentación,73.75
Lupe Casanovas,Pinedo, Flavio Alfaro,0,Pública,Transporte,40.72
Lupe Casanovas,Pinedo, Flavio Alfaro,0,Pública,Educación,17.77
Lupe Casanovas,Pinedo, Flavio Alfaro,0,Pública,Ocio y personales,28.71
Lupe Casanovas,Pinedo, Flavio Alfaro,0,Pública,Otros,20.25
Emilia del,Fernandez,San Lorenzo,1,Privada,Vivienda,318.43
Emilia del,Fernandez,San Lorenzo,1,Privada,Alimentación,139.58
Emilia del,Fernandez,San Lorenzo,1,Privada,Transporte,117.48
Emilia del,Fernandez,San Lorenzo,1,Privada,Educación,99.42
Emilia del,Fernandez,San Lorenzo,1,Privada,Ocio y personales,144.28
Emilia del,Fernandez,San Lorenzo,1,Privada,Otros,40.88
Natalio Goñi,Mancebo,Catarama,0,Pública,Vivienda,95.44
Natalio Goñi,Mancebo,Catarama,0,Pública,Alimentación,102.31
Natalio Goñi,Mancebo,Catarama,0,Pública,Transporte,29.78
