nombre,apellido,ciudad,becado,tipo_universidad,categoria_gasto,gasto_categoria
Angélica,Vargas, Rocafuerte,0,Pública,,85.81
Marisela,Flórez,Puebloviejo,[BAD],Pública,Educación,50.15
Sergio Alexander Padilla,Calderón,Zaruma,0,Pública,Ocio y personales,36.94
Mario Humberto Mora,Serrano,Otavalo,,Pública,Educación,39.44
Isidro Grau,Bosch,<NULL>,{ERR},Pública,∞∞∞,79.79
Thiago Valentin Santiago Benjamin Garcia,Carrizo,DAMAGED,0,Pública,Alimentación,65.2
Martha Sofía García,Martínez, Cotacachi,1,Privada,Vivienda,254.8
Rosalva Berenguer,Sastre,Otavalo,1,Privada,Educación,35.05
Maximino,Juan,Machachi,0,Pública,Transporte,25.85
Valentina Diaz,Gomez, Cotacachi,0,Pública,Educación,22.16
Francisco,Castro, Santo Domingo,0,Pública,Vivienda,BROKEN
Maximo Sofia Belen Muñoz,Lopez,San Vicente,0,Privada,,124.72
Sr(a). Benjamin,Gomez, Santo Domingo,0,Pública,Vivienda,240.99
América Tenorio,@@@,San Lorenzo,0,@@@,Otros,11.57
Benjamin Paula Gomez,Muñoz, Muisne,0,Pública,Alimentación,38.54
José Emilio Lucio,Segura,INVALID,0,Pública,Vivienda,[BAD]
Juan,Delgado, Paján,-9999.0,Pública,Otros,13.29
{ERR},Mejía, Paute,0,Privada,Ninguno,128.26
,,,,,,
Rubén Ordóñez,Jiménez,BROKEN,0,Pública,Educación,22.88
Lourdes Ruiz,Alcaraz,Babahoyo,{ERR},Pública,Educación,37.53
Óliver Paola Escobedo,Razo,Baba,0,Pública,Educación,26.65
[BAD],Duran,INVALID,0,Privada,Ocio y personales,32.93
Uma Gonzalez,, Echeandía,0,@@@,Alimentación,157.74
Julieta Pineda,Lladó, Chordeleg,{ERR},Pública,Transporte,61.89
Sr(a). Martina,Toledo,Sucúa,0,Pública,Educación,26.33
Elena Graciela,Gómez, Paján,[BAD],Pública,Ocio y personales,68.39
Delfina Olivia,Rodriguez,Salinas,1,Privada,Educación,120.38
Ramiro Ortiz,Moreno, Huaca,,Pública,Ocio y personales,24.05
Isabella Guadalupe,Godoy, Balzar,0,Pública,Otros,{ERR}
Nadia Pedro Jiménez,Bustamante, Santa Ana,0,Pública,Educación,38.91
,Serrato,INVALID,0,Pública,Otros,8.87
Gildardo Ferney Arias,Ardila, Quevedo,INVALID,Privada,Transporte,127.36
Mateo Isabella Moyano,Martinez, Vinces,0,Pública,Ocio y personales,32.89
BROKEN,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,BROKEN,0,<NULL>,Alimentación,77.53
Paula,Espitia, Vinces,0,Privada,Educación,62.64
Santino Rivero,BROKEN, Tabacundo,0,Pública,Vivienda,95.86
Brunilda,Silva,Jaramijó,0,[BAD],Vivienda,46.62
Marcela Óliver Lucero,Carrasco, Huaquillas,0,Pública,Ocio y personales,34.63
Sr(a). Delfina,Paez, General Villamil,0,Privada,Educación,17.23
Herminio Hidalgo,Osorio, La Troncal,0,Pública,Vivienda,47.84
Mtro. Blanca,Salcido, Guayaquil,0,Privada,Vivienda,69.73
,,,<NULL>,,,
Emilio Enrique Morales,Rodríguez, Baños de Agua Santa,0,Pública,Ocio y personales,26.47
Reinel,Medina,∞∞∞,0,Pública,Vivienda,107.9
Ing. Jaime,Cazares,Baba,0,Pública,Otros,37.04
Edilma Vanessa Perea,Corredor,Sucúa,0,Pública,Ocio y personales,[BAD]
Noelia Agustina Cisneros,Moya,Salitre,0,Pública,Educación,INVALID
Chus Lucas,Cabo, Milagro,,Pública,Transporte,45.91
,,,,,,
Nahiara Jazmin,Diaz,Babahoyo,0,Pública,Ocio y personales,20.82
Rolando Gómez,Sánchez, Valdez,0,Pública,Vivienda,102.95
Virgilio,Bejarano, Pimampiro,0,Pública,Ocio y personales,0.0
Constanza Maria Luz Barrios,Gomez, General Villamil,0,Pública,Otros,12.38
Manuel Juarez,Diaz,Ibarra,0,Privada,Educación,VAL1923
Dr. Renato,Adame, Alamor,NO,Pública,Ocio y personales,XXX
Claudio Aurelio Osorio,Alejandro, Santa Lucía,1,Privada,Vivienda,@@@
Alexander Olivia Sanchez,Escobar, La Troncal,1,Privada,Alimentación,102.95
Francisco Ojeda,Fernandez, Valencia,0,Pública,Transporte,DAMAGED
Priscila Ramiro Muñoz,Diaz, Palora,0,Pública,Ocio y personales,18.54
Renzo Acuña,Carrizo, La Maná,$$$,Pública,Ocio y personales,36.86
156906,Mosquera,∞∞∞,0,Pública,Transporte,91.12
Consuelo Milena,Álvarez, Durán,1,Privada,Transporte,168.88
∞∞∞,Acuña, Tabacundo,0,Pública,Transporte,{ERR}
,,,,,,
Estrella Hernando,<NULL>, Píllaro,0,Pública,,22.39
Andrea Lidia Flórez,Ríos, Balsas,0,Pública,Vivienda,70.32
∞∞∞,Bustos,Guaranda,0,Pública,Vivienda,69.06
Fulgencio de,Miralles, Paute,BROKEN,Pública,Vivienda,207.22
Benicio Gonzalez,Coronel,,[BAD],Privada,Otros,38.2
Dr(a). Lucas Benjamin,194672,,VAL3406,[BAD],[BAD],39.6
Martina,, Calceta,0,Pública,Vivienda,99.37
Sr(a). Juan Ignacio,Gutierrez,,0,,Educación,15.19
Aurelio Sergio,Olivo, Milagro,0,Pública,Educación,20.1
Tomàs Maria Guadalupe Gimenez,Gomez,Latacunga,0,Pública,Alimentación,134.35
Sr(a). Gino,Acosta,Guaranda,0,{ERR},Vivienda,164.93
Henry Enrique Galindo,Jaramillo, San Miguel de Los Bancos,0,Pública,Vivienda,81.04
Sr(a). Benjamin,Silva,Macas,0,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Otros,45.57
Sr(a). Juana,$$$, Pedernales,0,Pública,Educación,26.79
César,Torres,Quinsaloma,0,Pública,Educación,19.54
Mtro. Tomás,Cabán, Cumandá,0,Pública,Alimentación,51.32
@@@,,,,@@@,,
DAMAGED,Corral, Palestina,0,Pública,Alimentación,45.76
Benjamin Alejandro,Lucero, Guayaquil,0,Privada,Vivienda,161.55
Alexander,Contreras, Muisne,1,Privada,Alimentación,INVALID
DAMAGED,<NULL>, San Miguel de Los Bancos,0,Pública,Alimentación,41.67
Amador del,Merino, Shushufindi,0,Pública,Alimentación,86.44
,,BROKEN,1,Privada,Otros,33.28
Lucia Gutierrez,Castro, La Troncal,[BAD],Pública,Transporte,50.0
Andrés Enrique,Mosquera, Riobamba,1,BROKEN,@@@,100.38
∞∞∞,###CORRUPT###, Pelileo,0,Pública,Otros,29.1
Jorge Luis Griego,Abrego, Colimes,0,,Otros,50.28
<NULL>,∞∞∞, Pedro Carbo,0,Pública,$$$,36.47
,,,,,,
Aldo Georgina,Castañeda,BROKEN,0,Pública,Otros,49.43
Dalia Linda,Casanova, Tosagua,0,Pública,Ocio y personales,87.26
[BAD],Navarrete, Flavio Alfaro,0,Pública,Educación,14.32
Eloy Escamilla,Casanova,,INVALID,Pública,Transporte,51.65
Diana Liliana,<NULL>, Huaquillas,0,Privada,Educación,40.6
,∞∞∞,,,,,
Olga,Mendoza,[BAD],,Pública,Alimentación,58.01
Eladio Sarabia,Colom,Ibarra,0,Pública,Educación,45.64
Maristela Maricela Andres,Arco,Zaruma,0,Pública,Transporte,DAMAGED
Artemio del,Chaves,,0,Pública,Educación,22.95
Concepción Alberto,Arredondo, Alamor,1,Privada,Otros,VAL2635
Sofia Molina,Blanco,<NULL>,0,Pública,<NULL>,34.86
Lola Paulina Cabrera,Alvarez,,0,Pública,Vivienda,165.75
INVALID,Luna,$$$,0,Pública,Transporte,0.0
Mia Valentina,<NULL>, Echeandía,0,Pública,Vivienda,
Ángel,Palomo, Pedernales,VAL3935,Pública,Vivienda,120.86
Lucio Hernando,Bernal, Junín,0,Pública,Alimentación,112.43
José Natalia Lucio,Concepción,Quinsaloma,0,Pública,Alimentación,DAMAGED
,,,,,,
,,,,,,
Bernardino Quevedo,Agustín, Valdez,@@@,Pública,Transporte,73.81
Marc Pascual Galiano,Clavero, Calceta,1,Privada,[BAD],264.54
Guadalupe Cordoba,Navarro, Alausí,1000000000000.0,Pública,Vivienda,1000000000000.0
,,,,,,
Marta Lucía Salazar,Mora,Puyo,INVALID,Privada,Educación,81.81
Abraham,Jurado, Cotacachi,0,{ERR},Alimentación,184.03
Lucía Lucy Jiménez,Andrade, Jama,1,Privada,Alimentación,252.34
Valero Olmo,Morcillo, Huaca,0,Pública,Otros,17.9
Javi Cánovas,Cárdenas, Nueva Loja,0,Pública,Transporte,<NULL>
Tatiana,Bru-Planas, Echeandía,0,Pública,Alimentación,54.58
William Mario,Portilla,Pasaje,0,Pública,Transporte,37.65
Manuel Abigail Muñoz,Farías,Yantzaza,0,Pública,Ninguno,
,,,,,,
Mirian Teresa,Mendoza,$$$,0,INVALID,,21.04
Sr(a). Ciro Benjamin,Gonzalez,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,Pública,Transporte,0.0
Valentino Benitez,Sanchez,Puyo,0,Pública,Vivienda,135.82
Juan,Rojas, Pedro Vicente Maldonado,0,INVALID,Vivienda,185.3
Irma Amalia,Miramontes, Sucre,0,Pública,∞∞∞,[BAD]
Leonardo Carla,Arteaga,∞∞∞,0,Pública,Vivienda,44.9
Dr. Abril,Chacón,,0,∞∞∞,###CORRUPT###,34.41
Azucena Macías,Dominguez, Gualaceo,0,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Alimentación,39.4
Óscar José María,Noriega,El Ángel,0,Pública,Ocio y personales,25.54
Bautista,Diaz, Mocache,0,Pública,Alimentación,140.85
Bianca Fernandez,Cordoba, Mocache,1000000000000.0,Pública,Transporte,ERR
Dr. Luis Manuel,<script>, Marcabelí,0,Pública,Vivienda,50.13
Diego Jaime,Álvarez, El Tambo,0,@@@,Transporte,61.27
Dalia Víctor Niño,Galván,Cayambe,0,Pública,###CORRUPT###,25.05
Nico Anastasio Iglesia,Cabello, Naranjito,0,Pública,Vivienda,192.34
Paula Benjamin Mendez,Fernandez, San Miguel,1,Privada,Alimentación,144.19
Esmeralda Cecilia Zarate,Urías, Cañar,0,Pública,Educación,16.69
Alberto Mora,Meneses,Saquisilí,0,Pública,Educación,BROKEN
[BAD],Escobar, Durán,0,Pública,Transporte,BROKEN
Hilda Guardado,Palomino,Atuntaqui,0,Pública,Otros,12.87
BROKEN,Buendía, Marcabelí,0,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Vivienda,73.27
Alberto César,Sánchez, Echeandía,0,Pública,[BAD],53.61
,,,INVALID,,DAMAGED,
Alma Fonseca,Múgica,DAMAGED,∞∞∞,Pública,Otros,68.16
[BAD],,BROKEN,,,,
Chus Lucas,BROKEN, Milagro,0,Pública,Vivienda,90.22
Eva Jacobo,Perales, Milagro,0,INVALID,Educación,12.45
Marcela Emilce,Méndez, Sucre,1,Privada,Transporte,55.66
Xiomara Marina,Silva, Píllaro,NO,Privada,Educación,###CORRUPT###
Heriberto Germán,Vargas,Ventanas,0,Pública,Ocio y personales,40.79
<NULL>,Guardiola, Montalvo,VAL8351,BROKEN,Educación,
Alvaro Juan Pablo,DAMAGED,Latacunga,###CORRUPT###,Pública,Transporte,36.52
Clara Adame,Murillo, Santa Isabel,0,Pública,Otros,13.1
Santiago Martina Benitez,Perez,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,Privada,Vivienda,71.31
Valentino Gomez,Gutierrez,Quinsaloma,0,,@@@,39.63
Yuli,Salas, Durán,0,,Vivienda,
Lic. Angélica,Pichardo, Daule,0,Pública,Transporte,31.92
,,,,,,
Verónica Virginia Plaza,Canet,Piñas,0,Pública,Educación,41.11
Efraín Escolano,Villanueva,,0,Pública,Transporte,31.21
Teodoro,Briseño,INVALID,0,Pública,Transporte,41.71
Dr(a). Josefina,Lopez, La Libertad,0,Pública,Transporte,163.22
Arsenio Otero,Buendía, Isidro Ayora,INVALID,Pública,Vivienda,63.68
Verónica,Padrón, Lomas de Sargentillo,[BAD],Pública,Vivienda,49.82
Lautaro Juan Pablo Pereyra,Coronel,$$$,0,Privada,Vivienda,92.47
Martina Roldan,,Sucúa,0,Pública,[BAD],25.84
Jorge,Álvarez, Cumandá,0,[BAD],Alimentación,65.43
,,,,,,
,Anglada-Sotelo, Archidona,0,Pública,Ocio y personales,22.92
560041,Gimenez, Velasco Ibarra,1,INVALID,Educación,70.62
Lorena Martha,Garzón, Cuenca,0,Privada,Ocio y personales,∞∞∞
Verónica Rosa Porras,Vidal,BROKEN,0,Pública,Ocio y personales,0.0
,,,,,,
Edelmira Talavera,Clavero, Riobamba,0,Pública,Transporte,43.06
Adrián Palma,Gárate, Santa Ana,1,Privada,,39.61
,,,,∞∞∞,,
Juan Ignacio,Diaz, Coronel Marcelino Maridueña,0,Pública,Ninguno,64.67
Sr(a). Mateo Valentin,Suarez, Santa Rosa,NO,,Ocio y personales,111.7
Teresa Isabel Meneses,Díaz, El Carmen,0,Pública,Transporte,55.32
,Diaz,Simón Bolívar,$$$,Pública,Educación,35.05
Isabel Raquel,Zavala, Urcuquí,0,Pública,Vivienda,69.15
Sr(a). Thiago,Hernandez,Tena,1,Privada,Educación,62.42
Aurelio Martin,Calderon, Pedro Vicente Maldonado,0,Privada,Ocio y personales,40.98
,,,,,,
Alfredo Barranco,DAMAGED,,0,Pública,Alimentación,29.14
Daniel Humberto,DAMAGED, El Pangui,{ERR},Pública,Vivienda,$$$
Faustino Pallarès,, Cañar,0,Pública,Transporte,85.86
Karla,±§¶, Narcisa de Jesús,0,Pública,Ninguno,28.77
Ramiro,Rivera, Catamayo,0,Pública,Otros,28.76
Mia Camila,823735, Riobamba,0,Pública,Alimentación,62.37
Viviana Francy,Díaz,Puyo,0,Pública,Vivienda,30.41
Rosalia Dulce María,Gamboa,Latacunga,0,Pública,Educación,24.23
Francisco,Muñoz, El Coca,0,Pública,Alimentación,61.49
Juan Gabriel Ponce,Lucero, San Miguel de Salcedo,1,638187,Educación,82.37
Chus Cordero,Busquets,Latacunga,[BAD],Privada,Ocio y personales,57.15
Alma Mateo,Velasco,Salitre,0,Pública,Transporte,BROKEN
@@@,Rincón, Píllaro,0,Pública,Otros,26.66
###CORRUPT###,, Cotacachi,0,Pública,Alimentación,47.47
@@@,Torres,Bucay,0,Pública,Otros,20.5
Valentino Mateo,Fernandez, Archidona,1,Privada,DAMAGED,297.94
José,[BAD],Atuntaqui,0,Pública,Educación,61.68
Lic. María del Carmen,Rangel,Arenillas,0,Pública,Alimentación,79.02
Álvaro Otero,Rosales,Manta,1,Privada,Educación,45.42
Alejo Luisana,Castillo,Ibarra,0,Pública,Alimentación,49.78
Catalina Morena Jazmin Romero,Castillo,###CORRUPT###,0,Pública,Transporte,32.81
Martha Eva,Mora, Macará,0,Pública,BROKEN,77.35
INVALID,Ulloa, Cañar,0,Privada,Ninguno,DAMAGED
Juan Bautista,Gutierrez, Tosagua,0,Pública,Vivienda,121.64
Denis,Villamizar,Salinas,0,Privada,Ocio y personales,67.18
Dr(a). Julieta,Toledo, Chambo,0,Pública,Ocio y personales,19.51
Nury Eugenia,Henao, Píllaro,VAL9010,Privada,Vivienda,157.46
Valentino Martin,Sosa, General Villamil,0,Pública,Otros,14.18
Martin Guillermina Aguirre,Blanco,Pujilí,0,Pública,Educación,28.04
Matilda Correa,Cabrera, Machala,0,Pública,Transporte,0.0
Alexandra Baena,Esteban,Otavalo,0,Pública,Alimentación,58.89
Sr(a). Thiago,Quiroga, Lomas de Sargentillo,∞∞∞,Privada,Otros,68.46
Claudio,Garay,Saraguro,0,Pública,Otros,30.68
Jerónimo Ayuso,Diéguez, Guayaquil,0,Privada,Educación,99999.0
Juliana Benitez,Sosa, Puerto López,0,Pública,,77.02
Evelio Dalia Ortega,Rincón, La Libertad,0,Pública,Otros,35.92
Gertrudis Gómez,Roura,Saraguro,0,Pública,Ocio y personales,54.27
Dr. Abigail,Vaca, Huaca,0,Pública,<NULL>,30.19
Milo,747024,Jaramijó,0,Pública,Ocio y personales,17.65
Rita Dueñas,Arnal, Milagro,0,Pública,Ocio y personales,41.22
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Campillo, San Miguel,0,Pública,Otros,23.56
Jeremias,Sosa, Cotacachi,0,Pública,Educación,32.83
142943,Contreras, Muisne,1,Privada,Ocio y personales,103.15
Santiago de,DAMAGED,Babahoyo,0,Pública,Ocio y personales,[BAD]
Santiago Benjamin Josefina Castillo,Ponce, Durán,0,Pública,Otros,19.71
Ricardo Luis Arias,Ocampo,Sucúa,0,Pública,Educación,56.92
Concepción Alberto,Arredondo,<UNK>,1,Privada,Alimentación,135.69
,Arenas,DAMAGED,0,Pública,Otros,4.32
{ERR},Lara,INVALID,0,Pública,BROKEN,16.24
Alejandra Silvia,Corral,San Lorenzo,0,,Otros,24.21
,Zamora, Chone,1,Privada,Otros,34.2
,,,,,,
Manuel,Rodríguez,Saquisilí,0,Pública,$$$,[BAD]
Cristobal,Perea, Pedro Carbo,1,Privada,Ocio y personales,80.23
María Jesús Ricarda Cal,Arnaiz, Montalvo,1,Privada,Ocio y personales,36.42
Catalina,$$$,[BAD],0,Pública,Alimentación,50.66
Diego Camilo Medina,Villamizar, Durán,0,Pública,Transporte,100.19
Purificación,Donoso, La Maná,0,Pública,Ocio y personales,28.48
Diego Suárez,Díaz, La Libertad,0,Pública,Otros,62.93
Anselma de,Ariño, Atacames,0,Pública,Vivienda,55.0
René,Ramírez-Lillo,Baba,0,530892,Alimentación,48.88
Juan Fajardo,Franco, Santo Domingo,0,,Vivienda,105.08
Mauricio Javier Vásquez,Vergara, Lomas de Sargentillo,<NULL>,Pública,Alimentación,74.41
Dr(a). Lisandro,Fernandez, Riobamba,0,,Educación,###CORRUPT###
Cipriano,[BAD], Balsas,0,Pública,Alimentación,107.57
Maximiliano Enrique,Jaime, Chordeleg,NO,Privada,Vivienda,0.0
Maicol Julio,Oviedo, Santa Rosa,0,Pública,Transporte,###CORRUPT###
María Gómez,Núñez,@@@,0,Pública,Vivienda,159.32
Dr(a). Lucas Benjamin,Diaz,DAMAGED,0,Pública,Educación,48.86
BROKEN,Cuellar, Macará,0,INVALID,Otros,57.18
Ciriaco Gelabert,Andreu, Alausí,0,∞∞∞,Ocio y personales,46.81
∞∞∞,∞∞∞, Portovelo,0,Pública,Alimentación,44.42
Vanesa,, Nueva Loja,0,Pública,Alimentación,80.87
Claudia Luis Manuel Páez,Valle, Cañar,BROKEN,Pública,<NULL>,∞∞∞
Marisela Berta,∞∞∞, Junín,0,INVALID,Educación,39.58
Iván,Longoria,Latacunga,NO,Pública,Otros,51.83
José María Joaquín Carbajal,Rincón, Milagro,0,Pública,Transporte,-9999.0
Juan Juan Romero,Ardila,ERR!!,1,Privada,BROKEN,
,,<NULL>,,,,
{ERR},∞∞∞,Latacunga,0,Pública,Educación,13.95
María Cristina Antonia,Aponte,Sangolquí,0,703477,Vivienda,85.12
Santiago Joaquín,Gomez,Atuntaqui,0,Pública,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,40.93
Olga Montemayor,Sanches, Santa Rosa,1,Privada,Educación,35.1
José Díaz,Ruiz,Azogues,0,Pública,Vivienda,60.25
Adriana Emilio Villagómez,@@@, Palenque,0,Pública,Educación,58.69
Agustina Julian Sanchez,Rodriguez, Sucre,NO,Privada,BROKEN,81.35
,,,,,,
$$$,Sanchez,Guaranda,0,<NULL>,Ocio y personales,36.39
Barbara Rufino de la,, Flavio Alfaro,0,Pública,Educación,31.64
Carlos,Jaramillo,<UNK>,0,Pública,Alimentación,67.99
Jordana Aliaga,Garzón, Biblián,0,∞∞∞,Transporte,42.13
Jeremias,Sosa, Cotacachi,{ERR},Pública,Otros,21.07
Jeremias,Navarro, Mocache,[BAD],Pública,$$$,67.06
Paulina Lobato,Borrego,@@@,0,Pública,Transporte,111.37
María,Fuentes, La Maná,0,Pública,Alimentación,###CORRUPT###
Albert Ferrández,$$$,Yantzaza,0,@@@,Otros,26.74
{ERR},Agullo,Pujilí,0,Pública,Educación,26.43
Valerio Tamayo,Díaz, Tabacundo,NO,Pública,Otros,16.05
Martina Mir,Alcolea,Guaranda,0,Pública,Transporte,58.87
Carlota Cueto,Bueno,,0,Pública,Ninguno,12.67
Patricia Yolanda Pérez,Parada, San Miguel,INVALID,INVALID,Transporte,31.3
Bertha,Beltrán, Alausí,0,Pública,Alimentación,97.89
José Arturo,Mejía,San Lorenzo,0,Pública,Educación,29.47
Gustavo Julián Hurtado,Castellanos,,0,Pública,Educación,22.99
Lic. María del Carmen,,Arenillas,0,DAMAGED,Vivienda,88.89
,,,,,,
Carlito,Criado-Llanos, El Carmen,0,Pública,Vivienda,60.2
Elena,<NULL>, Pimampiro,0,Pública,<NULL>,55.89
Ángel,Elizondo, Junín,0,Pública,Alimentación,92.28
BROKEN,Lucero, Balsas,0,Pública,Alimentación,55.58
Thiago Ezequiel,###CORRUPT###, Tulcán,0,Pública,Ocio y personales,32.04
Rosalinda Sanz,Oliver,Puebloviejo,0,Pública,Otros,11.3
Salvador Juan Manuel,Navarro,Zaruma,,Pública,Otros,30.49
Soledad Nadia Mascaró,Trujillo,BROKEN,0,Pública,Ninguno,25.35
,,,,BROKEN,,
Augusto Cristian Maldonado,Pantoja,Naranjal,0,Pública,Transporte,35.32
Araceli Ávila,Bosch, Píllaro,0,Pública,Vivienda,102.18
Rafael Pacheco,Sanchez, Velasco Ibarra,0,Pública,Otros,[BAD]
Fausto Jose Angel Cañas,Tello, Jipijapa,0,Pública,Otros,13.15
Elodia Bernardita Bas,Sevilla, Narcisa de Jesús,,Pública,Vivienda,36.5
Walter Hernández,Montes,Baba,0,Pública,Transporte,DAMAGED
Rubén Múgica,Hervia,Zaruma,0,Pública,Educación,36.07
Miriam Higueras,Tena, Guano,0,Pública,Otros,@@@
Lucas Hugo de la,Crúz, Valdez,0,Pública,Otros,18.35
146303,Falcón, Cotacachi,0,Pública,Educación,110.51
$$$,Torres, Guano,0,Pública,Transporte,###CORRUPT###
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Muñoz, Palenque,0,Pública,Transporte,54.53
Francisco Javier Oliver,Tomé, Camilo Ponce Enríquez,0,Pública,Alimentación,193.1
Jerónimo Campo,Canet,Catarama,[BAD],Pública,Ocio y personales,18.39
Sr(a). Mateo,Gonzalez, Urcuquí,0,Pública,Vivienda,DAMAGED
Sr(a). Thiago,Hernandez,Tena,NO,Privada,Otros,58.33
Débora,Lucio, Ambato,0,Pública,Vivienda,60.58
Valentin Sosa,$$$,Manta,0,Privada,DAMAGED,$$$
[BAD],Belda,San Vicente,0,Pública,Otros,20.82
Marcela,Aguirre, Narcisa de Jesús,0,Pública,DAMAGED,$$$
Aurelio Sergio,Olivo, Milagro,<NULL>,Pública,Transporte,28.57
Paola Castaño,Fernández,Catacocha,0,Pública,Ocio y personales,49.42
Alfonso Arango,, Vinces,0,Pública,Alimentación,99.43
Ariel Blanca,@@@, El Tambo,XXX,Pública,Vivienda,96.13
547369,Guardia, Camilo Ponce Enríquez,0,Pública,Alimentación,###CORRUPT###
Agustin,Rojas, Naranjito,0,Pública,Vivienda,VAL2175
